Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,2,4,15,3,HIT_MUD,false,0,2,0,0,0,,,0,0,-6
4,2,4,21,6,ACCELERATING,false,0,2,0,0,0,,,0,1,-2
5,2,4,29,6,HIT_MUD,false,0,3,0,0,0,,,0,1,-5
6,2,4,35,6,ACCELERATING,false,0,3,0,0,0,,,0,1,-5
7,2,4,41,6,ACCELERATING,false,0,3,0,0,0,,,0,1,-5
8,2,4,47,6,ACCELERATING,false,0,3,0,0,0,,,0,1,-5
9,2,4,53,0,HIT_WALL,false,0,5,0,1,0,,,0,1,-6
10,2,4,53,0,FIXED_CAR,false,0,3,0,1,0,,,0,1,-6
11,2,4,56,3,HIT_MUD,false,0,4,0,1,0,,,0,1,-9
12,2,4,59,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-9
13,2,4,62,3,ACCELERATING,false,0,4,0,2,0,,,0,1,-5
14,2,4,65,3,ACCELERATING,false,0,4,0,2,0,,,0,1,-5
15,2,4,68,3,ACCELERATING,false,0,4,0,2,0,,,0,1,-5
16,2,4,71,3,ACCELERATING,false,0,4,0,2,0,,,0,1,-5
17,2,4,74,3,ACCELERATING,false,0,4,0,2,0,,,0,1,-5
18,2,4,77,3,ACCELERATING,false,0,4,0,2,0,,,0,1,-5
19,2,4,80,3,ACCELERATING,false,0,4,0,2,0,,,0,1,-5
20,2,4,83,0,HIT_WALL,false,0,5,1,2,0,,,0,1,-6
21,2,4,83,0,FIXED_CAR,false,0,3,1,2,0,,,0,1,-6
22,2,4,86,0,HIT_WALL,false,0,5,1,2,0,,,0,1,-11
23,2,4,86,0,FIXED_CAR,false,0,3,1,2,0,,,0,1,-11
24,2,4,89,3,ACCELERATING,false,0,3,2,2,1,,,0,1,-3
25,2,4,95,6,ACCELERATING,false,0,3,2,2,1,,,0,1,-3
26,2,4,101,0,HIT_WALL,false,0,5,1,2,1,,,0,1,-4
27,2,4,101,0,FIXED_CAR,false,0,3,1,2,1,,,0,1,-4
28,2,4,104,3,ACCELERATING,false,0,3,1,2,1,,,0,1,-4
29,2,4,110,6,ACCELERATING,false,0,3,1,2,2,,,0,1,0
30,2,4,116,6,USED_LIZARD,false,0,3,1,2,1,,,0,1,0
31,2,4,122,6,USED_BOOST,true,5,3,0,2,1,,,0,1,4
32,2,4,128,6,USED_LIZARD,true,4,3,0,2,0,,,0,1,4
33,2,4,134,6,ACCELERATING,true,3,3,0,2,0,,,0,1,4
34,2,4,140,6,ACCELERATING,true,2,3,0,2,0,,,0,1,4
35,2,4,146,0,HIT_WALL,false,0,5,0,2,0,,,0,1,-1
36,2,4,146,0,FIXED_CAR,false,0,3,0,2,0,,,0,1,-1
37,2,4,149,3,ACCELERATING,false,0,3,0,2,0,,,0,1,-1
38,2,4,155,3,HIT_MUD,false,0,4,0,2,0,,,0,1,-4
39,2,4,158,3,ACCELERATING,false,0,4,0,2,1,,,0,1,0
40,2,4,161,0,HIT_WALL,false,0,5,0,2,1,,,0,1,-5
41,2,4,161,0,FIXED_CAR,false,0,3,0,2,1,,,0,1,-5
42,2,4,164,0,HIT_WALL,false,0,5,0,2,1,,,0,1,-10
43,2,4,164,0,FIXED_CAR,false,0,3,0,2,1,,,0,1,-10
44,2,4,167,3,ACCELERATING,false,0,3,0,2,1,,,0,1,-10
45,2,4,173,6,ACCELERATING,false,0,3,0,2,1,,,0,1,-10
46,2,4,179,0,HIT_WALL,false,0,5,0,2,1,,,0,1,-15
47,2,4,179,0,FIXED_CAR,false,0,3,0,2,1,,,0,1,-15
48,2,4,182,3,ACCELERATING,false,0,3,0,2,1,,,0,1,-15
49,2,4,188,6,ACCELERATING,false,0,3,0,2,1,,,0,1,-15
50,2,4,194,6,ACCELERATING,false,0,3,0,2,1,,,0,1,-15
51,2,4,200,6,ACCELERATING,false,0,3,0,2,1,,,0,1,-15
52,2,4,206,6,ACCELERATING,false,0,3,0,2,1,,,0,1,-15
53,2,4,212,0,HIT_WALL,false,0,5,0,3,1,,,0,1,-21
54,2,4,212,0,FIXED_CAR,false,0,3,0,3,1,,,0,1,-21
55,2,4,215,3,ACCELERATING,false,0,3,0,3,1,,,0,1,-21
56,2,4,221,6,ACCELERATING,false,0,3,0,3,1,,,0,1,-21
57,2,4,227,6,ACCELERATING,false,0,3,1,3,1,,,0,1,-17
58,2,4,233,6,USED_BOOST,true,5,3,0,3,1,,,0,2,-9
59,2,4,239,6,ACCELERATING,true,4,3,0,3,1,,,0,2,-9
60,2,4,245,6,USED_LIZARD,true,3,3,0,3,0,,,0,2,-9
61,2,4,251,6,ACCELERATING,true,2,3,0,3,0,,,0,2,-9
62,2,4,257,0,HIT_WALL,false,0,5,0,3,0,,,0,2,-14
63,2,4,257,0,FIXED_CAR,false,0,3,0,3,0,,,0,2,-14
64,2,4,260,3,HIT_MUD,false,0,4,0,3,0,,,0,2,-17
65,2,4,263,3,ACCELERATING,false,0,4,0,3,0,,,0,2,-17
66,2,4,266,3,ACCELERATING,false,0,4,0,3,0,,,0,2,-17
67,2,4,269,0,HIT_MUD,false,0,5,0,3,0,,,0,2,-20
68,2,4,269,0,FIXED_CAR,false,0,3,0,3,0,,,0,2,-20
69,2,4,272,3,ACCELERATING,false,0,3,0,3,0,,,0,2,-20
70,2,4,278,6,ACCELERATING,false,0,3,0,3,0,,,0,4,-12
71,2,4,284,6,ACCELERATING,false,0,3,0,3,0,,,0,4,-12
72,2,4,290,0,HIT_WALL,false,0,5,0,3,0,,,0,4,-17
73,2,4,290,0,FIXED_CAR,false,0,3,0,3,0,,,0,4,-17
74,2,4,293,3,ACCELERATING,false,0,3,0,3,0,,,0,4,-17
75,2,4,299,6,ACCELERATING,false,0,3,0,3,0,,,0,4,-17
76,2,4,305,6,ACCELERATING,false,0,3,0,3,0,,,0,4,-17
77,2,4,311,6,ACCELERATING,false,0,3,0,4,0,,,0,4,-13
78,2,4,317,6,ACCELERATING,false,0,3,0,4,0,,,0,4,-13
79,2,4,323,6,ACCELERATING,false,0,3,0,4,0,,,0,4,-13
80,2,4,329,6,ACCELERATING,false,0,3,0,4,0,,,0,5,-9
81,2,4,335,3,HIT_MUD,false,0,4,0,4,0,,,0,5,-12
82,2,4,338,3,ACCELERATING,false,0,4,0,4,0,,,0,5,-12
83,2,4,341,3,ACCELERATING,false,0,4,1,4,0,,,0,5,-8
84,2,4,344,3,ACCELERATING,false,0,4,1,4,0,,,0,5,-8
85,2,4,347,3,ACCELERATING,false,0,4,1,4,0,,,0,5,-8
86,2,4,350,0,HIT_MUD,false,0,5,1,4,0,,,0,5,-11
87,2,4,350,0,FIXED_CAR,false,0,3,1,4,0,,,0,5,-11
88,2,4,353,3,ACCELERATING,false,0,3,1,4,0,,,0,6,-7
89,2,4,359,3,HIT_MUD,false,0,4,1,4,0,,,0,6,-10
90,2,4,362,0,HIT_MUD,false,0,5,1,4,0,,,0,6,-13
91,2,4,362,0,FIXED_CAR,false,0,3,1,4,0,,,0,6,-13
92,2,4,365,3,ACCELERATING,false,0,3,1,4,0,,,0,6,-13
93,2,4,371,6,ACCELERATING,false,0,3,1,4,0,,,0,6,-13
94,2,4,377,3,HIT_MUD,false,0,4,0,4,1,,,0,6,-8
95,2,4,380,0,HIT_MUD,false,0,5,0,4,1,,,0,6,-11
96,2,4,380,0,FIXED_CAR,false,0,3,0,4,1,,,0,6,-11
97,2,4,383,3,ACCELERATING,false,0,3,0,4,1,,,0,6,-11
98,2,4,389,3,HIT_MUD,false,0,4,0,4,1,,,0,6,-14
99,2,4,392,3,ACCELERATING,false,0,4,0,4,1,,,0,7,-10
100,2,4,395,0,HIT_MUD,false,0,5,0,4,1,,,0,7,-13
101,2,4,395,0,FIXED_CAR,false,0,3,0,4,1,,,0,7,-13
102,2,4,398,3,ACCELERATING,false,0,3,0,4,1,,,0,7,-13
103,2,4,404,6,ACCELERATING,false,0,3,1,4,1,,,0,7,-9
104,2,4,410,6,USED_LIZARD,false,0,3,1,4,0,,,0,7,-9
105,2,4,416,6,USED_BOOST,true,5,3,0,4,0,,,0,7,-5
106,2,4,422,6,ACCELERATING,true,4,3,0,4,0,,,0,7,-5
107,2,4,428,0,HIT_MUD,false,0,5,0,4,0,,,0,7,-11
108,2,4,428,0,FIXED_CAR,false,0,3,0,4,0,,,0,7,-11
109,2,4,431,3,HIT_MUD,false,0,4,0,4,0,,,0,7,-14
110,2,4,434,3,ACCELERATING,false,0,4,0,4,0,,,0,7,-14
111,2,4,437,3,ACCELERATING,false,0,4,0,4,0,,,0,7,-14
112,2,4,440,3,ACCELERATING,false,0,4,0,4,0,,,0,7,-14
113,2,4,443,3,ACCELERATING,false,0,4,0,4,0,,,0,7,-14
114,2,4,446,3,ACCELERATING,false,0,4,0,4,0,,,0,7,-14
115,2,4,449,3,ACCELERATING,false,0,4,0,4,0,,,0,7,-14
116,2,4,452,3,ACCELERATING,false,0,4,0,4,0,,,1,7,-10
117,2,4,455,3,ACCELERATING,false,0,4,0,4,0,,,1,7,-10
118,2,4,458,3,ACCELERATING,false,0,4,0,4,0,,,1,7,-10
119,2,4,461,0,HIT_WALL,false,0,5,0,4,0,,,1,7,-15
120,2,4,461,0,FIXED_CAR,false,0,3,0,4,0,,,1,7,-15
121,2,4,464,3,ACCELERATING,false,0,3,0,4,0,,,1,7,-15
122,2,4,470,6,ACCELERATING,false,0,3,0,5,0,,,1,7,-11
123,2,4,476,6,ACCELERATING,false,0,3,0,5,1,,,1,7,-7
124,2,4,482,6,ACCELERATING,false,0,3,0,5,1,,,1,7,-7
125,2,4,488,6,ACCELERATING,false,0,3,0,5,1,,,2,7,-3
126,2,4,494,6,ACCELERATING,false,0,3,0,5,1,,,2,7,-3
127,2,4,500,6,ACCELERATING,false,0,3,0,5,1,,,2,7,-3
128,2,4,506,6,ACCELERATING,false,0,3,0,5,1,,,2,7,-3
129,2,4,512,6,ACCELERATING,false,0,3,0,5,1,,,2,7,-3
130,2,4,518,6,ACCELERATING,false,0,3,0,5,1,,,2,7,-3
131,2,4,524,6,ACCELERATING,false,0,3,0,5,1,,,2,8,1
132,2,4,530,6,ACCELERATING,false,0,3,0,5,1,,,2,8,1
133,2,4,536,6,ACCELERATING,false,0,3,0,5,2,,,2,8,5
134,2,4,542,6,USED_LIZARD,false,0,3,0,5,1,,,2,8,5
