Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,6,HIT_MUD,false,0,1,0,0,0,,,0,0,-3
4,1,1,23,8,ACCELERATING,false,0,1,0,0,1,,,0,0,1
5,1,1,31,8,USED_LIZARD,false,0,1,0,0,0,,,0,0,1
6,1,2,38,8,TURNING_RIGHT,false,0,1,0,0,0,,,0,0,1
7,1,2,47,9,ACCELERATING,false,0,1,0,1,0,,,0,0,5
8,1,2,56,9,USED_OIL,false,0,1,0,1,0,,,0,0,13
9,1,1,64,9,TURNING_LEFT,false,0,1,0,1,0,,,0,0,13
10,1,1,73,9,ACCELERATING,false,0,1,0,1,1,,,0,0,17
11,1,1,82,9,USED_OIL,false,0,1,0,0,1,,,0,0,21
12,1,1,91,9,ACCELERATING,false,0,1,0,0,1,,,1,1,29
13,1,1,100,9,ACCELERATING,false,0,1,0,0,1,,,1,1,29
14,1,2,108,9,TURNING_RIGHT,false,0,1,0,0,2,,,1,1,33
15,1,2,117,9,ACCELERATING,false,0,1,0,0,2,,,2,1,37
16,1,2,126,9,ACCELERATING,false,0,1,0,0,2,,,2,1,37
17,1,2,135,9,ACCELERATING,false,0,1,0,0,2,,,2,1,37
18,1,2,144,8,HIT_MUD,false,0,2,0,0,1,,,2,1,34
19,1,2,144,8,FIXED_CAR,false,0,0,0,0,1,,,2,1,34
20,1,2,152,8,USED_LIZARD,false,0,0,0,0,0,,,2,1,34
21,1,1,159,8,TURNING_LEFT,false,0,0,0,0,0,,,2,1,34
22,1,1,168,9,ACCELERATING,false,0,0,0,0,0,,,2,1,34
23,1,1,177,9,ACCELERATING,false,0,0,0,0,0,,,2,1,34
24,1,1,186,9,ACCELERATING,false,0,0,0,0,0,,,3,1,38
25,1,2,194,9,TURNING_RIGHT,false,0,0,0,0,0,,,3,1,38
26,1,2,203,9,USED_TWEET,false,0,0,0,0,0,4,76,2,1,42
27,1,2,212,9,ACCELERATING,false,0,0,0,0,0,4,76,2,1,42
28,1,2,221,9,ACCELERATING,false,0,0,0,0,0,4,76,2,1,42
29,1,3,229,9,TURNING_RIGHT,false,0,0,0,1,0,4,76,2,1,46
30,1,3,238,9,USED_TWEET,false,0,0,0,1,0,4,76,3,1,50
