Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,6,HIT_MUD,false,0,1,0,0,0,,,0,0,-3
4,1,1,23,8,ACCELERATING,false,0,1,0,0,0,,,1,0,1
5,1,1,31,8,USED_TWEET,false,0,1,0,0,0,4,76,0,0,5
6,1,1,40,9,ACCELERATING,false,0,1,0,0,0,4,76,0,0,5
7,1,1,49,9,ACCELERATING,false,0,1,0,0,0,4,76,0,0,5
8,1,1,58,8,HIT_MUD,false,0,2,0,0,0,4,76,0,0,2
9,1,1,66,8,ACCELERATING,false,0,2,0,0,0,4,76,0,0,2
10,1,1,74,6,HIT_MUD,false,0,3,1,0,0,4,76,0,0,3
11,1,1,80,0,HIT_MUD,false,0,5,1,0,0,4,76,1,0,1
12,1,1,80,0,FIXED_CAR,false,0,3,1,0,0,4,76,1,0,1
13,1,1,83,3,ACCELERATING,false,0,3,1,0,0,4,76,1,0,1
14,1,1,89,6,ACCELERATING,false,0,3,1,0,0,4,76,1,0,1
15,1,1,95,6,ACCELERATING,false,0,3,1,0,0,4,76,1,0,1
16,1,1,101,6,ACCELERATING,false,0,3,1,0,1,4,76,1,0,5
17,1,1,107,6,ACCELERATING,false,0,3,1,0,2,4,76,1,0,9
18,1,1,113,6,ACCELERATING,false,0,3,1,0,2,4,76,1,0,9
19,1,1,119,6,ACCELERATING,false,0,3,1,0,2,4,76,1,0,9
20,1,1,125,6,ACCELERATING,false,0,3,2,0,2,4,76,1,0,13
21,1,1,131,6,ACCELERATING,false,0,3,2,0,2,4,76,1,0,13
22,1,1,137,6,ACCELERATING,false,0,3,2,0,2,4,76,1,0,13
23,1,1,143,6,USED_TWEET,false,0,3,2,0,2,4,76,0,0,17
24,1,1,149,6,USED_LIZARD,false,0,3,2,0,1,4,76,0,0,17
25,1,1,155,6,USED_LIZARD,false,0,3,2,0,0,4,76,0,0,17
26,1,1,161,6,ACCELERATING,false,0,3,2,0,0,4,76,0,0,17
27,1,1,167,3,HIT_MUD,false,0,4,3,0,0,4,76,0,0,18
28,1,1,170,0,HIT_MUD,false,0,5,3,0,0,4,76,0,1,19
29,1,1,170,0,FIXED_CAR,false,0,3,3,0,0,4,76,0,1,19
