Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,6,ACCELERATING,false,0,0,0,1,0,,,0,0,4
3,2,4,15,6,HIT_MUD,false,0,1,1,1,0,,,0,0,5
4,2,4,24,9,USED_BOOST,true,5,1,0,1,1,,,0,0,13
5,2,4,33,9,USED_OIL,true,4,1,0,0,1,,,0,0,17
6,2,4,42,9,ACCELERATING,true,3,1,0,0,1,,,1,0,21
7,2,4,51,9,ACCELERATING,true,2,1,0,0,1,,,1,0,21
8,2,4,51,3,USED_LIZARD,false,0,1,0,0,0,,,1,0,14
9,2,4,57,3,HIT_MUD,false,0,2,0,0,0,,,2,1,19
10,2,4,63,6,ACCELERATING,false,0,2,0,0,0,,,2,1,19
11,2,4,71,8,ACCELERATING,false,0,2,0,1,0,,,3,1,27
12,2,4,79,8,ACCELERATING,false,0,2,0,1,0,,,3,1,27
13,2,4,87,8,ACCELERATING,false,0,2,0,1,0,,,3,1,27
14,2,4,95,3,HIT_MUD,false,0,4,0,1,1,,,3,1,25
15,2,4,98,0,HIT_WALL,false,0,5,0,1,1,,,3,1,20
16,2,4,98,0,FIXED_CAR,false,0,3,0,1,1,,,3,1,20
17,2,4,101,3,ACCELERATING,false,0,3,0,1,1,,,3,1,20
18,2,4,107,6,ACCELERATING,false,0,3,0,1,1,,,3,1,20
19,2,4,113,6,ACCELERATING,false,0,3,0,1,1,,,3,1,20
20,2,4,119,3,HIT_MUD,false,0,4,0,1,0,,,3,1,17
21,2,4,122,0,HIT_MUD,false,0,5,0,1,0,,,3,1,11
22,2,4,122,0,FIXED_CAR,false,0,3,0,1,0,,,3,1,11
23,2,4,125,3,ACCELERATING,false,0,3,0,1,1,,,3,1,15
24,2,4,131,6,ACCELERATING,false,0,3,0,1,1,,,3,1,15
25,2,4,137,6,ACCELERATING,false,0,3,0,1,1,,,3,1,15
